"Group","Family","Scientific Name","Common Name","Native Habitat","Exotic / Native Transplant","State","HUC","Name"
"Coelenterates-Hydrozoans","Olindiidae","Craspedacusta sowerbyi","freshwater jellyfish","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Crustaceans-Copepods","Lernaeidae","Lernaea cyprinacea","anchor worm","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Crustaceans-Crayfish","Cambaridae","Cambarellus shufeldtii","Cajun dwarf crayfish","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Crustaceans-Crayfish","Cambaridae","Faxonella clypeata","ditch fencing crayfish","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Centrarchidae","Micropterus punctulatus","spotted bass","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Characidae","Colossoma or Piaractus sp.","unidentified pacu","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Cichlidae","Astronotus ocellatus","oscar","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Cyprinidae","Ctenopharyngodon idella","grass carp","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Cyprinidae","Cyprinella lutrensis","red shiner","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Cyprinidae","Notropis baileyi","rough shiner","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Cyprinidae","Pimephales promelas","fathead minnow","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Cyprinidae","Tinca tinca","tench","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Ictaluridae","Ameiurus platycephalus","flat bullhead","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Ictaluridae","Ictalurus furcatus","blue catfish","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Ictaluridae","Pylodictis olivaris","flathead catfish","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Moronidae","Morone chrysops","white bass","Freshwater-Marine","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Moronidae","Morone chrysops x M. saxatilis","wiper","Freshwater-Marine","Native Hybrid","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Moronidae","Morone saxatilis","striped bass","Freshwater-Marine","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Percidae","Perca flavescens","yellow perch","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Percidae","Sander canadensis","sauger","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Reptiles-Crocodilians","Alligatoridae","Alligator mississippiensis","American Alligator","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Centrarchidae","Micropterus punctulatus","spotted bass","Freshwater","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Centrarchidae","Pomoxis annularis","white crappie","Freshwater","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Characidae","Colossoma or Piaractus sp.","unidentified pacu","Freshwater","Exotic","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Cichlidae","Astronotus ocellatus","oscar","Freshwater","Exotic","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Cichlidae","Oreochromis niloticus","Nile tilapia","Freshwater","Exotic","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Cyprinidae","Ctenopharyngodon idella","grass carp","Freshwater","Exotic","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Cyprinidae","Cyprinella lutrensis","red shiner","Freshwater","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Cyprinidae","Pimephales promelas","fathead minnow","Freshwater","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Ictaluridae","Ictalurus furcatus","blue catfish","Freshwater","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Ictaluridae","Pylodictis olivaris","flathead catfish","Freshwater","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Moronidae","Morone chrysops","white bass","Freshwater-Marine","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Percidae","Perca flavescens","yellow perch","Freshwater","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Centrarchidae","Lepomis cyanellus","green sunfish","Freshwater","Native","AL","03130004","Lower Chattahoochee"
"Fishes","Centrarchidae","Lepomis humilis","orangespotted sunfish","Freshwater","Native","AL","03130004","Lower Chattahoochee"
"Fishes","Centrarchidae","Micropterus punctulatus punctulatus","northern spotted bass","Freshwater","Native","AL","03130004","Lower Chattahoochee"
"Fishes","Cichlidae","Oreochromis niloticus","Nile tilapia","Freshwater","Exotic","AL","03130004","Lower Chattahoochee"
"Fishes","Cichlidae","Oreochromis, Sarotherodon, Tilapia sp.","tilapia","Freshwater","Exotic","AL","03130004","Lower Chattahoochee"
"Fishes","Cyprinidae","Carassius auratus","goldfish","Freshwater","Exotic","AL","03130004","Lower Chattahoochee"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03130004","Lower Chattahoochee"
"Fishes","Ictaluridae","Ictalurus furcatus","blue catfish","Freshwater","Native","AL","03130004","Lower Chattahoochee"
"Fishes","Ictaluridae","Pylodictis olivaris","flathead catfish","Freshwater","Native","AL","03130004","Lower Chattahoochee"
"Fishes","Moronidae","Morone chrysops","white bass","Freshwater-Marine","Native","AL","03130004","Lower Chattahoochee"
"Fishes","Moronidae","Morone chrysops x M. saxatilis","wiper","Freshwater-Marine","Native Hybrid","AL","03130004","Lower Chattahoochee"
"Fishes","Percidae","Perca flavescens","yellow perch","Freshwater","Native","AL","03130004","Lower Chattahoochee"
"Fishes","Percidae","Sander vitreus","walleye","Freshwater","Native","AL","03130004","Lower Chattahoochee"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03130004","Lower Chattahoochee"
"Fishes","Centrarchidae","Lepomis cyanellus","green sunfish","Freshwater","Native","AL","03130012","Chipola"
"Fishes","Centrarchidae","Lepomis megalotis","longear sunfish","Freshwater","Native","AL","03130012","Chipola"
"Fishes","Cyprinidae","Carassius auratus","goldfish","Freshwater","Exotic","AL","03130012","Chipola"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03130012","Chipola"
"Fishes","Ictaluridae","Pylodictis olivaris","flathead catfish","Freshwater","Native","AL","03130012","Chipola"
"Fishes","Percidae","Ammocrypta bifascia","Florida sand darter","Freshwater","Native","AL","03130012","Chipola"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03130012","Chipola"
"Fishes","Centrarchidae","Ambloplites rupestris","rock bass","Freshwater","Native","AL","03140103","Yellow"
"Fishes","Centrarchidae","Lepomis auritus","redbreast sunfish","Freshwater","Native","AL","03140103","Yellow"
"Fishes","Centrarchidae","Pomoxis annularis","white crappie","Freshwater","Native","AL","03140103","Yellow"
"Fishes","Gasterosteidae","Apeltes quadracus","fourspine stickleback","Freshwater-Brackish","Native","AL","03140103","Yellow"
"Fishes","Ictaluridae","Ictalurus furcatus","blue catfish","Freshwater","Native","AL","03140103","Yellow"
"Fishes","Ictaluridae","Pylodictis olivaris","flathead catfish","Freshwater","Native","AL","03140103","Yellow"
"Mammals","Capromyidae","Myocastor coypus","nutria","Freshwater","Exotic","AL","03140103","Yellow"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03140103","Yellow"
"Fishes","Centrarchidae","Ambloplites rupestris","rock bass","Freshwater","Native","AL","03140104","Blackwater"
"Fishes","Centrarchidae","Lepomis auritus","redbreast sunfish","Freshwater","Native","AL","03140104","Blackwater"
"Mammals","Capromyidae","Myocastor coypus","nutria","Freshwater","Exotic","AL","03140104","Blackwater"
"Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","Freshwater","Exotic","AL","03140106","Perdido"
"Coelenterates-Hydrozoans","Olindiidae","Craspedacusta sowerbyi","freshwater jellyfish","Freshwater","Exotic","AL","03140106","Perdido"
"Fishes","Centrarchidae","Lepomis auritus","redbreast sunfish","Freshwater","Native","AL","03140106","Perdido"
"Fishes","Centrarchidae","Lepomis cyanellus","green sunfish","Freshwater","Native","AL","03140106","Perdido"
"Fishes","Ictaluridae","Pylodictis olivaris","flathead catfish","Freshwater","Native","AL","03140106","Perdido"
"Mammals","Capromyidae","Myocastor coypus","nutria","Freshwater","Exotic","AL","03140106","Perdido"
"Reptiles-Turtles","Kinosternidae","Sternotherus carinatus","Razor-backed Musk Turtle","Freshwater","Native","AL","03140106","Perdido"
"Amphibians-Frogs","Hylidae","Osteopilus septentrionalis","Cuban Treefrog","Freshwater","Exotic","AL","03140107","Perdido Bay"
"Coelenterates-Hydrozoans","Olindiidae","Craspedacusta sowerbyi","freshwater jellyfish","Freshwater","Exotic","AL","03140107","Perdido Bay"
"Crustaceans-Shrimp","Penaeidae","Penaeus monodon","Asian tiger shrimp","Marine","Exotic","AL","03140107","Perdido Bay"
"Fishes","Centrarchidae","Lepomis cyanellus","green sunfish","Freshwater","Native","AL","03140107","Perdido Bay"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03140107","Perdido Bay"
"Mammals","Capromyidae","Myocastor coypus","nutria","Freshwater","Exotic","AL","03140107","Perdido Bay"
"Coelenterates-Hydrozoans","Olindiidae","Craspedacusta sowerbyi","freshwater jellyfish","Freshwater","Exotic","AL","03140201","Upper Choctawhatchee"
"Fishes","Centrarchidae","Lepomis auritus","redbreast sunfish","Freshwater","Native","AL","03140201","Upper Choctawhatchee"
"Fishes","Centrarchidae","Pomoxis annularis","white crappie","Freshwater","Native","AL","03140201","Upper Choctawhatchee"
"Fishes","Cyprinidae","Ctenopharyngodon idella","grass carp","Freshwater","Exotic","AL","03140201","Upper Choctawhatchee"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03140201","Upper Choctawhatchee"
"Fishes","Ictaluridae","Ictalurus furcatus","blue catfish","Freshwater","Native","AL","03140201","Upper Choctawhatchee"
"Fishes","Ictaluridae","Pylodictis olivaris","flathead catfish","Freshwater","Native","AL","03140201","Upper Choctawhatchee"
"Fishes","Moronidae","Morone chrysops x M. saxatilis","wiper","Freshwater-Marine","Native Hybrid","AL","03140201","Upper Choctawhatchee"
"Fishes","Percidae","Perca flavescens","yellow perch","Freshwater","Native","AL","03140201","Upper Choctawhatchee"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03140201","Upper Choctawhatchee"
"Fishes","Centrarchidae","Lepomis auritus","redbreast sunfish","Freshwater","Native","AL","03140202","Pea"
"Fishes","Cyprinidae","Ctenopharyngodon idella","grass carp","Freshwater","Exotic","AL","03140202","Pea"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03140202","Pea"
"Coelenterates-Hydrozoans","Olindiidae","Craspedacusta sowerbyi","freshwater jellyfish","Freshwater","Exotic","AL","03140203","Lower Choctawhatchee"
"Fishes","Centrarchidae","Ambloplites rupestris","rock bass","Freshwater","Native","AL","03140203","Lower Choctawhatchee"
"Fishes","Characidae","Colossoma or Piaractus sp.","unidentified pacu","Freshwater","Exotic","AL","03140203","Lower Choctawhatchee"
"Fishes","Clupeidae","Dorosoma petenense","threadfin shad","Freshwater-Marine","Native","AL","03140203","Lower Choctawhatchee"
"Fishes","Cyprinidae","Ctenopharyngodon idella","grass carp","Freshwater","Exotic","AL","03140203","Lower Choctawhatchee"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03140203","Lower Choctawhatchee"
"Fishes","Ictaluridae","Ameiurus catus","white catfish","Freshwater","Native","AL","03140203","Lower Choctawhatchee"
"Fishes","Ictaluridae","Ictalurus furcatus","blue catfish","Freshwater","Native","AL","03140203","Lower Choctawhatchee"
"Fishes","Ictaluridae","Pylodictis olivaris","flathead catfish","Freshwater","Native","AL","03140203","Lower Choctawhatchee"
"Fishes","Moronidae","Morone chrysops x M. saxatilis","wiper","Freshwater-Marine","Native Hybrid","AL","03140203","Lower Choctawhatchee"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03140203","Lower Choctawhatchee"
"Mollusks-Gastropods","Ampullariidae","Pomacea paludosa","Florida applesnail","Freshwater","Native","AL","03140203","Lower Choctawhatchee"
"Fishes","Centrarchidae","Pomoxis annularis","white crappie","Freshwater","Native","AL","03140301","Upper Conecuh"
"Fishes","Characidae","Colossoma or Piaractus sp.","unidentified pacu","Freshwater","Exotic","AL","03140301","Upper Conecuh"
"Fishes","Ictaluridae","Ictalurus furcatus","blue catfish","Freshwater","Native","AL","03140301","Upper Conecuh"
"Fishes","Ictaluridae","Pylodictis olivaris","flathead catfish","Freshwater","Native","AL","03140301","Upper Conecuh"
"Fishes","Moronidae","Morone chrysops","white bass","Freshwater-Marine","Native","AL","03140301","Upper Conecuh"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03140301","Upper Conecuh"
"Mollusks-Gastropods","Ampullariidae","Pomacea paludosa","Florida applesnail","Freshwater","Native","AL","03140301","Upper Conecuh"
"Fishes","Cichlidae","Oreochromis aureus","blue tilapia","Freshwater","Exotic","AL","03140302","Patsaliga"
"Fishes","Cichlidae","Oreochromis mossambicus","Mozambique tilapia","Freshwater-Brackish","Exotic","AL","03140302","Patsaliga"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03140302","Patsaliga"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03140303","Sepulga"
"Fishes","Centrarchidae","Lepomis auritus","redbreast sunfish","Freshwater","Native","AL","03140304","Lower Conecuh"
"Fishes","Cyprinidae","Campostoma oligolepis","largescale stoneroller","Freshwater","Native","AL","03140304","Lower Conecuh"
"Fishes","Cyprinidae","Ctenopharyngodon idella","grass carp","Freshwater","Exotic","AL","03140304","Lower Conecuh"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03140304","Lower Conecuh"
"Fishes","Cyprinidae","Luxilus chrysocephalus isolepis","striped shiner","Freshwater","Native","AL","03140304","Lower Conecuh"
"Fishes","Ictaluridae","Ictalurus furcatus","blue catfish","Freshwater","Native","AL","03140304","Lower Conecuh"
"Fishes","Moronidae","Morone chrysops x M. saxatilis","wiper","Freshwater-Marine","Native Hybrid","AL","03140304","Lower Conecuh"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03140304","Lower Conecuh"
"Coelenterates-Hydrozoans","Olindiidae","Craspedacusta sowerbyi","freshwater jellyfish","Freshwater","Exotic","AL","03140305","Escambia"
"Fishes","Centrarchidae","Lepomis cyanellus","green sunfish","Freshwater","Native","AL","03140305","Escambia"
"Fishes","Clupeidae","Dorosoma petenense","threadfin shad","Freshwater-Marine","Native","AL","03140305","Escambia"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03140305","Escambia"
"Fishes","Cyprinidae","Luxilus chrysocephalus isolepis","striped shiner","Freshwater","Native","AL","03140305","Escambia"
"Fishes","Cyprinidae","Nocomis leptocephalus bellicus","bluehead chub","Freshwater","Native","AL","03140305","Escambia"
"Fishes","Cyprinidae","Notropis baileyi","rough shiner","Freshwater","Native","AL","03140305","Escambia"
"Fishes","Ictaluridae","Ameiurus catus","white catfish","Freshwater","Native","AL","03140305","Escambia"
"Fishes","Ictaluridae","Ictalurus furcatus","blue catfish","Freshwater","Native","AL","03140305","Escambia"
"Fishes","Ictaluridae","Pylodictis olivaris","flathead catfish","Freshwater","Native","AL","03140305","Escambia"
"Fishes","Moronidae","Morone chrysops","white bass","Freshwater-Marine","Native","AL","03140305","Escambia"
"Fishes","Moronidae","Morone chrysops x M. saxatilis","wiper","Freshwater-Marine","Native Hybrid","AL","03140305","Escambia"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03140305","Escambia"
"Coelenterates-Hydrozoans","Olindiidae","Craspedacusta sowerbyi","freshwater jellyfish","Freshwater","Exotic","AL","03150105","Upper Coosa"
"Fishes","Acipenseridae","Acipenser transmontanus","white sturgeon","Freshwater","Native","AL","03150105","Upper Coosa"
"Fishes","Centrarchidae","Lepomis auritus","redbreast sunfish","Freshwater","Native","AL","03150105","Upper Coosa"
"Fishes","Cyprinidae","Carassius auratus","goldfish","Freshwater","Exotic","AL","03150105","Upper Coosa"
"Fishes","Cyprinidae","Cyprinella lutrensis","red shiner","Freshwater","Native","AL","03150105","Upper Coosa"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03150105","Upper Coosa"
"Fishes","Cyprinidae","Luxilus zonistius","bandfin shiner","Freshwater","Native","AL","03150105","Upper Coosa"
"Fishes","Cyprinidae","Notropis lutipinnis","yellowfin shiner","Freshwater","Native","AL","03150105","Upper Coosa"
"Fishes","Cyprinidae","Pimephales promelas","fathead minnow","Freshwater","Native","AL","03150105","Upper Coosa"
"Fishes","Ictaluridae","Ameiurus catus","white catfish","Freshwater","Native","AL","03150105","Upper Coosa"
"Fishes","Moronidae","Morone chrysops","white bass","Freshwater-Marine","Native","AL","03150105","Upper Coosa"
"Fishes","Moronidae","Morone mississippiensis","yellow bass","Freshwater","Native","AL","03150105","Upper Coosa"
"Fishes","Salmonidae","Salmo trutta","brown trout","Freshwater","Exotic","AL","03150105","Upper Coosa"
"Fishes","Salmonidae","Salvelinus fontinalis","brook trout","Freshwater","Native","AL","03150105","Upper Coosa"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03150105","Upper Coosa"
"Coelenterates-Hydrozoans","Olindiidae","Craspedacusta sowerbyi","freshwater jellyfish","Freshwater","Exotic","AL","03150106","Middle Coosa"
"Fishes","Centrarchidae","Ambloplites rupestris","rock bass","Freshwater","Native","AL","03150106","Middle Coosa"
"Fishes","Centrarchidae","Lepomis auritus","redbreast sunfish","Freshwater","Native","AL","03150106","Middle Coosa"
"Fishes","Centrarchidae","Micropterus dolomieu","smallmouth bass","Freshwater","Native","AL","03150106","Middle Coosa"
"Fishes","Cobitidae","Misgurnus anguillicaudatus","Oriental weatherfish","Freshwater","Exotic","AL","03150106","Middle Coosa"
"Fishes","Cyprinidae","Carassius auratus","goldfish","Freshwater","Exotic","AL","03150106","Middle Coosa"
"Fishes","Cyprinidae","Cyprinella lutrensis","red shiner","Freshwater","Native","AL","03150106","Middle Coosa"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03150106","Middle Coosa"
"Fishes","Cyprinidae","Pimephales promelas","fathead minnow","Freshwater","Native","AL","03150106","Middle Coosa"
"Fishes","Ictaluridae","Ameiurus catus","white catfish","Freshwater","Native","AL","03150106","Middle Coosa"
"Fishes","Moronidae","Morone chrysops","white bass","Freshwater-Marine","Native","AL","03150106","Middle Coosa"
"Fishes","Moronidae","Morone chrysops x M. saxatilis","wiper","Freshwater-Marine","Native Hybrid","AL","03150106","Middle Coosa"
"Fishes","Salmonidae","Salmo trutta","brown trout","Freshwater","Exotic","AL","03150106","Middle Coosa"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03150106","Middle Coosa"
"Coelenterates-Hydrozoans","Olindiidae","Craspedacusta sowerbyi","freshwater jellyfish","Freshwater","Exotic","AL","03150107","Lower Coosa"
"Fishes","Centrarchidae","Lepomis auritus","redbreast sunfish","Freshwater","Native","AL","03150107","Lower Coosa"
"Fishes","Characidae","Piaractus brachypomus","pirapatinga, red-bellied pacu","Freshwater","Exotic","AL","03150107","Lower Coosa"
"Fishes","Cyprinidae","Ctenopharyngodon idella","grass carp","Freshwater","Exotic","AL","03150107","Lower Coosa"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03150107","Lower Coosa"
"Fishes","Cyprinidae","Pimephales promelas","fathead minnow","Freshwater","Native","AL","03150107","Lower Coosa"
"Fishes","Ictaluridae","Ameiurus catus","white catfish","Freshwater","Native","AL","03150107","Lower Coosa"
"Fishes","Moronidae","Morone chrysops","white bass","Freshwater-Marine","Native","AL","03150107","Lower Coosa"
"Fishes","Moronidae","Morone chrysops x M. saxatilis","wiper","Freshwater-Marine","Native Hybrid","AL","03150107","Lower Coosa"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03150107","Lower Coosa"
"Fishes","Catostomidae","Moxostoma lachneri","greater jumprock","Freshwater","Native","AL","03150108","Upper Tallapoosa"
"Fishes","Centrarchidae","Lepomis auritus","redbreast sunfish","Freshwater","Native","AL","03150108","Upper Tallapoosa"
"Fishes","Characidae","Piaractus brachypomus","pirapatinga, red-bellied pacu","Freshwater","Exotic","AL","03150108","Upper Tallapoosa"
"Fishes","Cichlidae","Astronotus ocellatus","oscar","Freshwater","Exotic","AL","03150108","Upper Tallapoosa"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03150108","Upper Tallapoosa"
"Fishes","Cyprinidae","Pimephales promelas","fathead minnow","Freshwater","Native","AL","03150108","Upper Tallapoosa"
"Fishes","Ictaluridae","Ictalurus furcatus","blue catfish","Freshwater","Native","AL","03150108","Upper Tallapoosa"
"Fishes","Moronidae","Morone chrysops","white bass","Freshwater-Marine","Native","AL","03150108","Upper Tallapoosa"
"Fishes","Moronidae","Morone chrysops x M. saxatilis","wiper","Freshwater-Marine","Native Hybrid","AL","03150108","Upper Tallapoosa"
"Fishes","Percidae","Percina maculata","blackside darter","Freshwater","Native","AL","03150108","Upper Tallapoosa"
"Fishes","Percidae","Percina nigrofasciata","blackbanded darter","Freshwater","Native","AL","03150108","Upper Tallapoosa"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03150108","Upper Tallapoosa"
"Coelenterates-Hydrozoans","Olindiidae","Craspedacusta sowerbyi","freshwater jellyfish","Freshwater","Exotic","AL","03150109","Middle Tallapoosa"
"Fishes","Centrarchidae","Lepomis auritus","redbreast sunfish","Freshwater","Native","AL","03150109","Middle Tallapoosa"
"Fishes","Centrarchidae","Lepomis humilis","orangespotted sunfish","Freshwater","Native","AL","03150109","Middle Tallapoosa"
"Fishes","Cyprinidae","Ctenopharyngodon idella","grass carp","Freshwater","Exotic","AL","03150109","Middle Tallapoosa"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03150109","Middle Tallapoosa"
"Fishes","Cyprinidae","Pimephales promelas","fathead minnow","Freshwater","Native","AL","03150109","Middle Tallapoosa"
"Fishes","Ictaluridae","Ameiurus catus","white catfish","Freshwater","Native","AL","03150109","Middle Tallapoosa"
"Fishes","Moronidae","Morone chrysops","white bass","Freshwater-Marine","Native","AL","03150109","Middle Tallapoosa"
"Fishes","Moronidae","Morone chrysops x M. saxatilis","wiper","Freshwater-Marine","Native Hybrid","AL","03150109","Middle Tallapoosa"
"Fishes","Moronidae","Morone saxatilis","striped bass","Freshwater-Marine","Native","AL","03150109","Middle Tallapoosa"
"Fishes","Percidae","Percina maculata","blackside darter","Freshwater","Native","AL","03150109","Middle Tallapoosa"
"Fishes","Percidae","Percina nigrofasciata","blackbanded darter","Freshwater","Native","AL","03150109","Middle Tallapoosa"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03150109","Middle Tallapoosa"
"Coelenterates-Hydrozoans","Olindiidae","Craspedacusta sowerbyi","freshwater jellyfish","Freshwater","Exotic","AL","03150110","Lower Tallapoosa"
"Fishes","Centrarchidae","Lepomis auritus","redbreast sunfish","Freshwater","Native","AL","03150110","Lower Tallapoosa"
"Fishes","Cichlidae","Oreochromis aureus","blue tilapia","Freshwater","Exotic","AL","03150110","Lower Tallapoosa"
"Fishes","Cichlidae","Oreochromis niloticus","Nile tilapia","Freshwater","Exotic","AL","03150110","Lower Tallapoosa"
"Fishes","Cyprinidae","Carassius auratus","goldfish","Freshwater","Exotic","AL","03150110","Lower Tallapoosa"
"Fishes","Cyprinidae","Ctenopharyngodon idella","grass carp","Freshwater","Exotic","AL","03150110","Lower Tallapoosa"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03150110","Lower Tallapoosa"
"Fishes","Cyprinidae","Hypophthalmichthys molitrix","silver carp","Freshwater","Exotic","AL","03150110","Lower Tallapoosa"
"Fishes","Cyprinidae","Hypophthalmichthys molitrix x nobilis","hybrid silver/bighead carp","Freshwater","Exotic Hybrid","AL","03150110","Lower Tallapoosa"
"Fishes","Cyprinidae","Hypophthalmichthys nobilis","bighead carp","Freshwater","Exotic","AL","03150110","Lower Tallapoosa"
"Fishes","Cyprinidae","Lythrurus atrapiculus","blacktip shiner","Freshwater","Native","AL","03150110","Lower Tallapoosa"
"Fishes","Cyprinidae","Pimephales promelas","fathead minnow","Freshwater","Native","AL","03150110","Lower Tallapoosa"
"Fishes","Cyprinidae","Tinca tinca","tench","Freshwater","Exotic","AL","03150110","Lower Tallapoosa"
"Fishes","Esocidae","Esox masquinongy","muskellunge","Freshwater","Native","AL","03150110","Lower Tallapoosa"
"Fishes","Ictaluridae","Ameiurus catus","white catfish","Freshwater","Native","AL","03150110","Lower Tallapoosa"
"Fishes","Moronidae","Morone chrysops","white bass","Freshwater-Marine","Native","AL","03150110","Lower Tallapoosa"
"Fishes","Moronidae","Morone chrysops x M. saxatilis","wiper","Freshwater-Marine","Native Hybrid","AL","03150110","Lower Tallapoosa"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03150110","Lower Tallapoosa"
"Coelenterates-Hydrozoans","Olindiidae","Craspedacusta sowerbyi","freshwater jellyfish","Freshwater","Exotic","AL","03150201","Upper Alabama"
"Fishes","Clupeidae","Alosa sapidissima","American shad","Freshwater-Marine","Native","AL","03150201","Upper Alabama"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03150201","Upper Alabama"
"Fishes","Cyprinidae","Pimephales promelas","fathead minnow","Freshwater","Native","AL","03150201","Upper Alabama"
"Fishes","Moronidae","Morone chrysops","white bass","Freshwater-Marine","Native","AL","03150201","Upper Alabama"
"Fishes","Moronidae","Morone chrysops x M. saxatilis","wiper","Freshwater-Marine","Native Hybrid","AL","03150201","Upper Alabama"
